imei,sn,model,firmware,configuration,description,companyname,group,lastlogin
862061046000237,1106233876,,,,,"Logifleet SA",,
862061046019666,1106233828,,,,,"Logifleet SA",,
862061046045612,1105854991,FMU130,03.25.10.Rev.175,TLT-FMM130-03.25.14.r.41.e-01-StTk.cfg,,"Logifleet SA",,"2020-04-14 12:57:37"
862061046047444,1105855955,FMU130,03.25.10.Rev.175,TLT-FMM130-03.25.10.r.175_ID1.e-02-StTk.cfg,,"Logifleet SA",,"2020-05-14 22:43:06"
862061046125505,1105856107,FMU130,03.25.10.Rev.175,TLT-FMM130-03.25.10.r.175_ID1.e-02-StTk.cfg,,"Logifleet SA",,"2020-05-14 20:40:49"
862061046130653,1105854530,,,,,"Logifleet SA",,
864394040076640,1105841555,FMC130,03.25.15.Rev.88,,,"Logifleet SA",,"2020-05-14 22:07:04"
864394040077010,1106560880,,,,,"Logifleet SA",,
864394040078927,1106561100,,,,,"Logifleet SA",,
864394040079065,1106561094,,,,,"Logifleet SA",,
864394040080097,1106561426,,,,,"Logifleet SA",,
864394040080360,1106561091,,,,,"Logifleet SA",,
864394040080725,1106561090,,,,,"Logifleet SA",,
864394040081491,1106560888,,,,,"Logifleet SA",,
864394040085039,1106561177,,,,,"Logifleet SA",,
864394040085237,1106561182,,,,,"Logifleet SA",,
864394040086565,1105839644,,,,,"Logifleet SA",,
864394040086730,1105839652,,,,,"Logifleet SA",,
864394040086763,1105839646,,,,,"Logifleet SA",,
864394040089023,1106561101,,,,,"Logifleet SA",,
864394040089460,1106561096,,,,,"Logifleet SA",,
864394040092332,1106561449,,,,,"Logifleet SA",,
864394040092662,1106561440,,,,,"Logifleet SA",,
864394040093116,1106561427,,,,,"Logifleet SA",,
864394040093124,1106561429,,,,,"Logifleet SA",,
864394040093207,1106561430,,,,,"Logifleet SA",,
864394040093330,1106561435,,,,,"Logifleet SA",,
864394040093363,1106561408,,,,,"Logifleet SA",,
864394040093371,1106561428,,,,,"Logifleet SA",,
864394040094163,1106561320,,,,,"Logifleet SA",,
864394040094205,1106561318,,,,,"Logifleet SA",,
864394040094338,1106561351,,,,,"Logifleet SA",,
864394040094353,1106560881,,,,,"Logifleet SA",,
864394040094395,1106561316,,,,,"Logifleet SA",,
864394040094460,1106561325,,,,,"Logifleet SA",,
864394040094510,1106561319,,,,,"Logifleet SA",,
864394040095038,1106560883,,,,,"Logifleet SA",,
864394040095897,1106561043,,,,,"Logifleet SA",,
864394040095921,1106561038,,,,,"Logifleet SA",,
864394040096200,1106560929,,,,,"Logifleet SA",,
864394040096630,1106561787,,,,,"Logifleet SA",,
864394040096689,1106561782,,,,,"Logifleet SA",,
864394040096721,1106561788,,,,,"Logifleet SA",,
864394040096747,1106561739,,,,,"Logifleet SA",,
864394040096770,1106561748,,,,,"Logifleet SA",,
864394040096812,1106561738,,,,,"Logifleet SA",,
864394040096820,1106561749,,,,,"Logifleet SA",,
864394040096895,1106560925,,,,,"Logifleet SA",,
864394040096960,1106560930,,,,,"Logifleet SA",,
864394040096986,1106560927,,,,,"Logifleet SA",,
864394040096994,1106560952,,,,,"Logifleet SA",,
864394040097091,1106561654,,,,,"Logifleet SA",,
864394040097158,1106561665,,,,,"Logifleet SA",,
864394040097257,1106561649,,,,,"Logifleet SA",,
864394040097307,1106561653,,,,,"Logifleet SA",,
864394040097398,1106561822,,,,,"Logifleet SA",,
864394040097414,1106561791,,,,,"Logifleet SA",,
